scenario,backend,role,capacity,num_consumers,ratio,payload_bytes,trials,tput_mean,tput_median,tput_min,tput_max,fail_rate_mean,lat_p50_mean,lat_p50_median,lat_p99_mean,lat_p99_median,fail_lat_p50_mean,fail_lat_p50_median,fail_lat_p99_mean,fail_lat_p99_median
cap_256,spmc,producer,256,4,max,8,5,7595916.914866105,7246696.308962354,7069857.481344446,8349946.379222475,0.059042208952969896,123.909375,129.556640625,267.8546875,189.697265625,42,42,42,42
cap_256,spmc,consumer,256,4,max,8,5,30383750.823654346,28987018.811929848,28279580.639513575,33399783.825818166,0.4663212443549939,187.55833333333334,194.41666666666666,372.85,364.75,74.8,72.75,116.8,125
cap_256,sync,producer,256,4,max,8,5,6569.2486458311205,6548.283140359977,6381.656133115237,6812.69069778981,0,151152.408984375,150694.255859375,169926.416015625,170697.1015625,,,,
cap_256,sync,consumer,256,4,max,8,5,26277.052862292097,26193.209929668235,25526.693821086577,27250.72655975372,0.9955837667695062,123339.5,123520.75,529566.55,511500,490,490,2604.2,2604
cap_1024,spmc,producer,1024,4,max,8,5,7941616.071459977,7991669.953886066,7789755.1769026425,8051169.131478581,0.05070029465275122,122.998046875,122.396484375,181.558984375,181.884765625,42,42,42,42
cap_1024,spmc,consumer,1024,4,max,8,5,31765654.616755992,31966651.314421877,31158860.212436624,32204406.319463905,0.48574740352967327,185.56,186.425,364.5,364.5,76.85,72.75,108.6,104.5
cap_1024,sync,producer,1024,4,max,8,5,7772.817126502411,7732.85934622109,7510.793831292788,8091.006837405466,0,128902.424609375,128639.16015625,142785.63169270832,143918.06666666668,,,,
cap_1024,sync,consumer,1024,4,max,8,5,31090.803345498378,30930.361056243048,30043.123786945413,32363.935711179074,0.9952133482998786,101381.3,101052.25,462249.95,469291.75,443.7,437.5,2424.95,2416.75
cap_4096,spmc,producer,4096,4,max,8,5,7733646.430565633,7712789.615047358,7665825.756870067,7837089.925410482,0.035527599314885916,124.3,124.267578125,184.195703125,184,42,42,42,42
cap_4096,spmc,consumer,4096,4,max,8,5,30934547.079431884,30851192.329724,30663211.43912624,31348599.88332354,0.4925559049324873,192.28333333333333,187.5,364.5,364.5,76.85,72.75,114.75,114.75
cap_4096,sync,producer,4096,4,max,8,5,6566.730250274234,6447.93922595298,6333.8094319787715,6857.79901790308,0,152050.0328125,151650.552734375,171900.08035300925,168508.30078125,,,,
cap_4096,sync,consumer,4096,4,max,8,5,26266.881840471277,25791.848849977545,25335.138123036682,27431.24297163808,0.9957226384406473,120452.05,121052.25,562150.15,569208.25,510.5,510.5,2385.5,2375.25
n_1,spmc,producer,1024,1,balanced,8,5,1999998.8732523224,1999998.8398397628,1999998.8398103262,1999998.923400804,0,499.91796875,499.91796875,500,500,,,,
