scenario,backend,role,capacity,num_consumers,ratio,payload_bytes,trials,tput_mean,tput_median,tput_min,tput_max,fail_rate_mean,lat_p50_mean,lat_p50_median,lat_p99_mean,lat_p99_median,fail_lat_p50_mean,fail_lat_p50_median,fail_lat_p99_mean,fail_lat_p99_median
cmp_cap_256,spmc,consumer,256,2,balanced,8,5,3999083.021435569,3999030.5970843653,3998338.0679667005,3999719.2917126305,0.00022863038067805663,499.9181640625,499.91796875,500,500,500,500,554.1,541.5
cmp_cap_256,sync,producer,256,2,balanced,8,5,1995228.7805436202,1998373.296940228,1981827.6466209963,1999861.0289017686,0.26348695727542426,511.65666666666664,506.8333333333333,658.6,667,141.4,125,333.6,334
cmp_cap_256,sync,consumer,256,2,balanced,8,5,3989983.945187344,3996236.6621444104,3963302.668371205,3999199.8384773484,0.0025034554911944297,510.86365451388883,499.91796875,5725.281640625,1500,441.6,479,1754.2,1021
cmp_cap_1024,spmc,producer,1024,2,balanced,8,5,2000921.6208421323,2000994.5275985135,2000671.0584983835,2000999.4171255818,0.4997694454119159,533.4,541,750,750,233.4,250,291.8,292
cmp_cap_1024,spmc,consumer,1024,2,balanced,8,5,3999857.645320561,3999997.5960222157,3999340.798903416,3999997.673730382,0.000032835698374259796,499.9185546875,499.9189453125,500,500,,,,
cmp_cap_1024,sync,producer,1024,2,balanced,8,5,2000542.0730537984,2000998.336494232,1999424.4979694374,2001014.9821715795,0.3032795108214373,513.85,512,683.4,667,150.2,125,324.8,333
cmp_cap_1024,sync,consumer,1024,2,balanced,8,5,3999085.6365689365,3999994.77415792,3996820.5510431486,3999997.761180764,0.00022798453528211153,499.91796875,499.91796875,2071.1140625,500.2041015625,,333.5,,667
cmp_cap_4096,spmc,producer,4096,2,balanced,8,5,2004050.2273616914,2004052.0178591413,2004039.7119025434,2004061.5796265088,0.49898720591893253,520.6,521,633.6,584,183.6,209,316.8,333
cmp_cap_4096,spmc,consumer,4096,2,balanced,8,5,3999996.9282280826,3999996.8446940104,3999996.582333658,3999997.6796385455,0,499.9181640625,499.91796875,500.0162109375,500,,,,
cmp_cap_4096,sync,producer,4096,2,balanced,8,5,2004065.4453898263,2004063.102030236,2004057.4915914265,2004073.8115061042,0.4989807374595318,529.1,541,758.4,792,250,250,350.2,375
cmp_cap_4096,sync,consumer,4096,2,balanced,8,5,3999985.5147256083,3999983.251791767,3999979.443748242,3999997.345226053,0.000002341221086024155,499.91796875,499.91796875,500.138671875,500.123046875,,500,,542
