scenario,backend,trial,role,thread_id,capacity,num_consumers,ratio,ok_ops,fail_ops,window_ns,throughput_ops_s,fail_rate_pct,lat_p50_ns,lat_p99_ns,lat_max_ns,fail_lat_p50_ns,fail_lat_p99_ns,payload_bytes
rate_max,sync,2,consumer,3,1024,4,max,10052,2513211,1003566667,10016.275281490593,99.60162694098871,78000,524292,1579041,292,1833,8
rate_max,sync,3,producer,0,1024,4,max,12611,0,1002869083,12574.921506479426,0,79306.396484375,85143.9609375,85143.9609375,,,8
rate_max,sync,3,consumer,0,1024,4,max,12611,1262084,1002867625,12574.939788289606,99.01066529640424,59958,403375,1554375,667,2708,8
rate_max,sync,3,consumer,1,1024,4,max,12611,1614268,1002862458,12575.004577546964,99.22483479103241,60042,404667,1554250,500,2458,8
rate_max,sync,3,consumer,2,1024,4,max,12611,1423582,1002867667,12574.939261652355,99.12191467302793,59958,402459,1553833,584,2375,8
rate_max,sync,3,consumer,3,1024,4,max,12611,1908030,1002868041,12574.934572074972,99.34339629321668,59917,403583,1554584,458,2000,8
rate_max,sync,4,producer,0,1024,4,max,7673,0,1004843417,7636.015592268143,0,127676.7578125,150346.19140625,150346.19140625,,,8
rate_max,sync,4,consumer,0,1024,4,max,7673,1312227,1004841458,7636.030479148482,99.41866808091521,83750,789584,2443000,625,3958,8
rate_max,sync,4,consumer,1,1024,4,max,7673,1259280,1004838375,7636.053907674455,99.39437374551385,83834,789208,2443834,583,4417,8
rate_max,sync,4,consumer,2,1024,4,max,7673,1224889,1004838250,7636.054857585288,99.37747553469927,83500,782834,2443708,625,4667,8
rate_max,sync,4,consumer,3,1024,4,max,7673,2152219,1004843750,7636.013061732235,99.64475075605633,84542,791625,2433333,375,1875,8
rate_balanced,spmc,0,producer,0,1024,4,balanced,2007306,5972703,1003540084,2000225.035355937,74.84581784306258,541,667,416125,83,208,8
rate_balanced,spmc,0,consumer,0,1024,4,balanced,2006290,778,1003534584,1999223.5763346648,0.03876301151729787,499.91796875,511.23046875,1258.869140625,500,542,8
rate_balanced,spmc,0,consumer,1,1024,4,balanced,2006289,794,1003542166,1999207.4752542088,0.03955989861904067,499.91796875,505.53515625,1311.443359375,500,584,8
rate_balanced,spmc,0,consumer,2,1024,4,balanced,2006289,784,1003537083,1999217.6014087563,0.03906185774010213,499.91796875,507.73046875,1264.728515625,500,542,8
rate_balanced,spmc,0,consumer,3,1024,4,balanced,2006289,774,1003532125,1999227.4786420015,0.038563811898281224,499.91796875,511.962890625,1254.96484375,500,542,8
rate_balanced,spmc,1,producer,0,1024,4,balanced,2009708,6030001,1004990084,1999729.1833975946,75.00272708875409,541,667,111833,84,250,8
