scenario,backend,trial,role,thread_id,capacity,num_consumers,ratio,ok_ops,fail_ops,window_ns,throughput_ops_s,fail_rate_pct,lat_p50_ns,lat_p99_ns,lat_max_ns,fail_lat_p50_ns,fail_lat_p99_ns,payload_bytes
cmp_uneven_consumer_speeds,spmc,1,consumer,0,64,2,balanced,2007718,2261,1004990083,1997749.0663457622,0.11248873744452058,499.91796875,502.1593625498008,13958,500,542,8
cmp_uneven_consumer_speeds,spmc,1,consumer,1,64,2,balanced,2007717,2275,1004996584,1997735.148520664,0.11318453008768194,499.919921875,501.953125,1258.7890625,500,542,8
cmp_uneven_consumer_speeds,spmc,2,producer,0,64,2,balanced,2007173,2012812,1004996667,1997193.688205535,50.07013707762591,520.5,791,27792,250,250,8
cmp_uneven_consumer_speeds,spmc,2,consumer,0,64,2,balanced,2007129,2866,1004998125,1997147.0096026298,0.14258741937168998,499.919921875,501.4367816091954,1119.140625,500,542,8
cmp_uneven_consumer_speeds,spmc,2,consumer,1,64,2,balanced,2007130,2852,1004991584,1997161.0030915444,0.14189181793667804,499.919921875,501.25753424657535,1106.4453125,500,542,8
cmp_uneven_consumer_speeds,spmc,3,producer,0,64,2,balanced,2008756,2011187,1004986042,1998789.9493632966,50.030236747137955,521,792,6125,250,292,8
cmp_uneven_consumer_speeds,spmc,3,consumer,0,64,2,balanced,2008713,1266,1004990125,1998739.0423363612,0.06298573268675942,499.91796875,500,1050.78125,500,583,8
cmp_uneven_consumer_speeds,spmc,3,consumer,1,64,2,balanced,2008712,1271,1004992125,1998734.0696823867,0.0632343656637892,499.91796875,500,1050.78125,500,542,8
cmp_uneven_consumer_speeds,spmc,4,producer,0,64,2,balanced,2000728,2002162,1000723000,1999282.5187389518,50.0179120585377,542,750,37333,250,334,8
cmp_uneven_consumer_speeds,spmc,4,consumer,0,64,2,balanced,2000684,766,1000725584,1999233.3882412263,0.03827225261685278,499.919921875,500.244140625,22541,500,583,8
cmp_uneven_consumer_speeds,spmc,4,consumer,1,64,2,balanced,2000683,774,1000729084,1999225.3967508352,0.03867182757361262,499.919921875,500.244140625,12000,500,542,8
cmp_uneven_consumer_speeds,sync,0,producer,0,64,2,balanced,2007877,2012126,1005003042,1997881.5148700813,50.052848219267496,500,875,39709,250,459,8
cmp_uneven_consumer_speeds,sync,0,consumer,0,64,2,balanced,2007814,2193,1005004083,1997816.7591185796,0.10910409764742113,499.91796875,688.640625,16542,500,625,8
cmp_uneven_consumer_speeds,sync,0,consumer,1,64,2,balanced,2007814,2182,1004998625,1997827.6089681217,0.10855742996503474,499.91796875,625,9000,500,625,8
cmp_uneven_consumer_speeds,sync,1,producer,0,64,2,balanced,2005815,2009202,1003760125,1998301.137933727,50.04217914893013,541,834,31417,292,416,8
cmp_uneven_consumer_speeds,sync,1,consumer,0,64,2,balanced,2005752,1779,1003766083,1998226.513098869,0.08861631526487013,499.91796875,875,258083,500,625,8
cmp_uneven_consumer_speeds,sync,1,consumer,1,64,2,balanced,2005752,1777,1003765042,1998228.5854501794,0.08851677858700921,499.91796875,771,257542,500,625,8
cmp_uneven_consumer_speeds,sync,2,producer,0,64,2,balanced,1950689,323988,1004351625,1942237.1124256407,14.243252998117976,505.85714285714283,708,25417,125,334,8
cmp_uneven_consumer_speeds,sync,2,consumer,0,64,2,balanced,1950626,58062,1004344541,1942188.0842383152,2.8905434791266735,750,2111.3333333333335,93042,375,1417,8
cmp_uneven_consumer_speeds,sync,2,consumer,1,64,2,balanced,1950627,58075,1004351583,1942175.4622753456,2.8911705170801842,729.5,1666,93270.5,458,708,8
cmp_uneven_consumer_speeds,sync,3,producer,0,64,2,balanced,1767131,566641,1004988250,1758359.8614212654,24.280049636382646,510.25,917,35083,125,375,8
cmp_uneven_consumer_speeds,sync,3,consumer,0,64,2,balanced,1767131,242815,1004973584,1758385.5219024343,12.080672814095502,1791,15542,599125,458,1834,8
cmp_uneven_consumer_speeds,sync,3,consumer,1,64,2,balanced,1767131,242817,1004974625,1758383.70048398,12.080760298276374,1833,15333,137916,459,792,8
cmp_uneven_consumer_speeds,sync,4,producer,0,64,2,balanced,1915752,67187,1005017458,1906187.78285939,3.388253496451479,501.13513513513516,583.3333333333334,27500,166,417,8
cmp_uneven_consumer_speeds,sync,4,consumer,0,64,2,balanced,1915740,94291,1005016000,1906178.6081017617,4.691022178264912,750,5125,230334,417,1625,8
cmp_uneven_consumer_speeds,sync,4,consumer,1,64,2,balanced,1915689,94294,1005017709,1906124.6213324186,4.691283458616317,750,4152.666666666667,244958,416,1417,8
cmp_tiny_capacity_high_contention,spmc,0,producer,0,4,2,max,8431729,7349440,1004993042,8389838.185566263,46.570947944350635,166,209,131614.5,42,125,8
cmp_tiny_capacity_high_contention,spmc,0,consumer,0,4,2,max,8431731,12154434,1005000916,8389774.442752846,59.041759356344414,166,270.75,179875,83,125,8
cmp_tiny_capacity_high_contention,spmc,0,consumer,1,4,2,max,8431731,12129936,1004993916,8389832.879346505,58.99296005523288,166,250,128916.5,83,125,8
cmp_tiny_capacity_high_contention,spmc,1,producer,0,4,2,max,8776951,7252965,1004999917,8733285.298370825,45.24643173426486,166,209,292364.5,42,84,8
cmp_tiny_capacity_high_contention,spmc,1,consumer,0,4,2,max,8776953,12222810,1004996375,8733318.067938305,58.204514022372535,166,209,584625,83,125,8
cmp_tiny_capacity_high_contention,spmc,1,consumer,1,4,2,max,8776953,12147198,1004993458,8733343.41645038,58.053480879582644,166,209,873500,83,125,8
cmp_tiny_capacity_high_contention,spmc,2,producer,0,4,2,max,8762457,7227193,1004992667,8718926.304364767,45.199194478928554,166,209,358385.5,42,84,8
cmp_tiny_capacity_high_contention,spmc,2,consumer,0,4,2,max,8762458,12170547,1004985833,8718986.588938314,58.140467649054685,166,209,387917,83,125,8
cmp_tiny_capacity_high_contention,spmc,2,consumer,1,4,2,max,8762458,12211611,1004989958,8718950.801695473,58.22242217282684,166,209,363583,83,125,8
cmp_tiny_capacity_high_contention,spmc,3,producer,0,4,2,max,8725400,7291869,1002287750,8705484.028912855,45.5250454993295,166,209,851083,42,84,8
cmp_tiny_capacity_high_contention,spmc,3,consumer,0,4,2,max,8725401,12133184,1002282625,8705529.540632315,58.16877798757682,166,209,577709,83,125,8
cmp_tiny_capacity_high_contention,spmc,3,consumer,1,4,2,max,8725400,12179092,1002286625,8705493.800239028,58.26064560669544,166,209,851000,83,125,8
cmp_tiny_capacity_high_contention,spmc,4,producer,0,4,2,max,8745726,7215378,1005006750,8702156.478053506,45.20600830619235,166,209,275177,42,125,8
cmp_tiny_capacity_high_contention,spmc,4,consumer,0,4,2,max,8745724,12337543,1005000667,8702207.159828681,58.518174626351794,166,209,310833,83,125,8
cmp_tiny_capacity_high_contention,spmc,4,consumer,1,4,2,max,8745724,12278741,1004999333,8702218.71082575,58.402156725510025,166,209,366861,83,125,8
cmp_tiny_capacity_high_contention,sync,0,producer,0,4,2,max,220134,13016,1005031375,219031.96803184377,5.582672099506755,4494.373015873016,6334.716666666666,16058.4,334,6125,8
cmp_tiny_capacity_high_contention,sync,0,consumer,0,4,2,max,220134,3165886,1004993125,219040.30438019166,93.49873893243395,5417,15833,428292,250,1000,8
cmp_tiny_capacity_high_contention,sync,0,consumer,1,4,2,max,220134,3888232,1004986666,219041.71214148228,94.64181136734166,5416,15833,375166,250,417,8
cmp_tiny_capacity_high_contention,sync,1,producer,0,4,2,max,368485,16029,1004990958,366655.0400944005,4.168638853201704,2764.072847682119,5272.862745098039,10292,333,5833,8
cmp_tiny_capacity_high_contention,sync,1,consumer,0,4,2,max,368485,2960564,1004993958,366653.94559516344,88.93122330130917,1125,11125,347792,250,1000,8
cmp_tiny_capacity_high_contention,sync,1,consumer,1,4,2,max,368485,3408656,1004996584,366652.9875488612,90.2443408916956,1125,11125,330458,250,417,8
cmp_tiny_capacity_high_contention,sync,2,producer,0,4,2,max,260156,13263,1004998125,258862.17449410664,4.850796762478101,3873.076923076923,5027.310344827586,7363.75,292,5584,8
cmp_tiny_capacity_high_contention,sync,2,consumer,0,4,2,max,260156,3067883,1004996792,258862.5178417485,92.1829041065925,2833,13125,385667,250,1042,8
cmp_tiny_capacity_high_contention,sync,2,consumer,1,4,2,max,260156,3684882,1004993625,258863.3335858225,93.40548810936676,2833,13166,365125,250,417,8
cmp_tiny_capacity_high_contention,sync,3,producer,0,4,2,max,253578,14402,1004086917,252545.86600693653,5.374281662810657,3970.1646090534978,5352.112676056338,9767.857142857143,333,5500,8
cmp_tiny_capacity_high_contention,sync,3,consumer,0,4,2,max,253578,3098618,1004091083,252544.8181875747,92.43546618395821,3334,12667,376917,250,1042,8
cmp_tiny_capacity_high_contention,sync,3,consumer,1,4,2,max,253578,3828206,1004083667,252546.68344286492,93.78756935692824,3333,12583,336250,250,417,8
cmp_tiny_capacity_high_contention,sync,4,producer,0,4,2,max,244083,12724,1005012125,242865.7266199649,4.954693602588715,4155.35546875,5262.212121212121,7006.779069767442,333,5750,8
cmp_tiny_capacity_high_contention,sync,4,consumer,0,4,2,max,244083,3101736,1005007833,242866.76380561106,92.70483549767636,5083,12625,308541,250,1042,8
cmp_tiny_capacity_high_contention,sync,4,consumer,1,4,2,max,244083,3885498,1005002458,242868.06271671824,94.08940035320774,5000,12542,330875,250,417,8
cmp_slowest_consumer_gates,spmc,0,producer,0,4,2,max,8771933,7213015,1005001833,8728275.622956004,45.12379395916709,166,209,278239.5,42,125,8
